instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,day_type,rental_category,hr,time_category
1194,2011-02-22,Musim Dingin,0,2,0,2,1,1,0.22,0.2273,0.47,0.1343,6,161,167,Hari Kerja,,18.0,Sore
1195,2011-02-22,Musim Dingin,0,2,0,2,1,1,0.2,0.1818,0.47,0.2836,4,114,118,Hari Kerja,,19.0,Sore
1196,2011-02-22,Musim Dingin,0,2,0,2,1,1,0.2,0.197,0.47,0.2239,3,102,105,Hari Kerja,,20.0,Sore
1197,2011-02-22,Musim Dingin,0,2,0,2,1,1,0.2,0.197,0.47,0.2537,2,80,82,Hari Kerja,,21.0,Sore
1198,2011-02-22,Musim Dingin,0,2,0,2,1,1,0.16,0.1515,0.43,0.2537,1,76,77,Hari Kerja,,22.0,Sore
1199,2011-02-22,Musim Dingin,0,2,0,2,1,1,0.16,0.1515,0.43,0.2537,3,18,21,Hari Kerja,,23.0,Sore
1200,2011-02-23,Musim Dingin,0,2,0,3,1,1,0.14,0.1364,0.5,0.194,0,6,6,Hari Kerja,,0.0,Malam
1201,2011-02-23,Musim Dingin,0,2,0,3,1,1,0.14,0.1515,0.46,0.1642,0,4,4,Hari Kerja,,1.0,Malam
1202,2011-02-23,Musim Dingin,0,2,0,3,1,1,0.12,0.1515,0.5,0.1343,0,1,1,Hari Kerja,,2.0,Malam
1203,2011-02-23,Musim Dingin,0,2,0,3,1,1,0.12,0.1364,0.5,0.1642,0,2,2,Hari Kerja,,3.0,Malam
1204,2011-02-23,Musim Dingin,0,2,0,3,1,1,0.12,0.1515,0.5,0.1045,0,8,8,Hari Kerja,,5.0,Malam
1205,2011-02-23,Musim Dingin,0,2,0,3,1,1,0.12,0.1515,0.5,0.1045,0,36,36,Hari Kerja,,6.0,Pagi
1206,2011-02-23,Musim Dingin,0,2,0,3,1,1,0.12,0.1515,0.54,0.1343,2,94,96,Hari Kerja,,7.0,Pagi
1207,2011-02-23,Musim Dingin,0,2,0,3,1,1,0.14,0.1515,0.54,0.1642,8,227,235,Hari Kerja,,8.0,Pagi
1208,2011-02-23,Musim Dingin,0,2,0,3,1,1,0.18,0.2121,0.51,0.0896,9,130,139,Hari Kerja,,9.0,Pagi
1209,2011-02-23,Musim Dingin,0,2,0,3,1,1,0.2,0.2576,0.4,0.0,4,47,51,Hari Kerja,,10.0,Pagi
1210,2011-02-23,Musim Dingin,0,2,0,3,1,1,0.24,0.2576,0.41,0.1045,16,53,69,Hari Kerja,,11.0,Pagi
1211,2011-02-23,Musim Dingin,0,2,0,3,1,1,0.26,0.2879,0.35,0.0896,11,56,67,Hari Kerja,,12.0,Siang
1212,2011-02-23,Musim Dingin,0,2,0,3,1,1,0.3,0.3182,0.28,0.0896,9,78,87,Hari Kerja,,13.0,Siang
1213,2011-02-23,Musim Dingin,0,2,0,3,1,1,0.32,0.3333,0.29,0.1045,17,61,78,Hari Kerja,,14.0,Siang
1214,2011-02-23,Musim Dingin,0,2,0,3,1,1,0.34,0.3485,0.25,0.0896,18,54,72,Hari Kerja,,15.0,Siang
1215,2011-02-23,Musim Dingin,0,2,0,3,1,1,0.34,0.3636,0.25,0.0,15,79,94,Hari Kerja,,16.0,Siang
1216,2011-02-23,Musim Dingin,0,2,0,3,1,1,0.34,0.3485,0.25,0.0896,15,207,222,Hari Kerja,,17.0,Siang
1217,2011-02-23,Musim Dingin,0,2,0,3,1,1,0.32,0.3333,0.26,0.0896,3,206,209,Hari Kerja,,18.0,Sore
1218,2011-02-23,Musim Dingin,0,2,0,3,1,1,0.3,0.3333,0.33,0.0,6,135,141,Hari Kerja,,19.0,Sore
1219,2011-02-23,Musim Dingin,0,2,0,3,1,1,0.24,0.2424,0.6,0.1642,2,107,109,Hari Kerja,,20.0,Sore
1220,2011-02-23,Musim Dingin,0,2,0,3,1,1,0.24,0.2879,0.48,0.0,2,89,91,Hari Kerja,,21.0,Sore
1221,2011-02-23,Musim Dingin,0,2,0,3,1,1,0.24,0.2879,0.48,0.0,1,60,61,Hari Kerja,,22.0,Sore
1222,2011-02-23,Musim Dingin,0,2,0,3,1,1,0.22,0.2576,0.55,0.0896,1,38,39,Hari Kerja,,23.0,Sore
1223,2011-02-24,Musim Dingin,0,2,0,4,1,1,0.22,0.2576,0.55,0.0896,0,11,11,Hari Kerja,,0.0,Malam
1224,2011-02-24,Musim Dingin,0,2,0,4,1,1,0.22,0.2576,0.6,0.0896,0,7,7,Hari Kerja,,1.0,Malam
1225,2011-02-24,Musim Dingin,0,2,0,4,1,1,0.2,0.2273,0.64,0.0896,0,4,4,Hari Kerja,,2.0,Malam
1226,2011-02-24,Musim Dingin,0,2,0,4,1,1,0.2,0.2121,0.64,0.1343,0,2,2,Hari Kerja,,3.0,Malam
1227,2011-02-24,Musim Dingin,0,2,0,4,1,1,0.2,0.2121,0.69,0.1343,1,3,4,Hari Kerja,,5.0,Malam
1228,2011-02-24,Musim Dingin,0,2,0,4,1,1,0.2,0.197,0.69,0.194,0,58,58,Hari Kerja,,6.0,Pagi
1229,2011-02-24,Musim Dingin,0,2,0,4,1,1,0.2,0.197,0.72,0.194,0,104,104,Hari Kerja,,7.0,Pagi
1230,2011-02-24,Musim Dingin,0,2,0,4,1,1,0.24,0.2273,0.7,0.2239,8,244,252,Hari Kerja,,8.0,Pagi
1231,2011-02-24,Musim Dingin,0,2,0,4,1,2,0.24,0.2121,0.75,0.2985,4,133,137,Hari Kerja,,9.0,Pagi
1232,2011-02-24,Musim Dingin,0,2,0,4,1,2,0.26,0.2424,0.7,0.2836,8,49,57,Hari Kerja,,10.0,Pagi
1233,2011-02-24,Musim Dingin,0,2,0,4,1,2,0.32,0.2879,0.57,0.3881,8,71,79,Hari Kerja,,11.0,Pagi
1234,2011-02-24,Musim Dingin,0,2,0,4,1,2,0.36,0.3333,0.53,0.3582,10,85,95,Hari Kerja,,12.0,Siang
1235,2011-02-24,Musim Dingin,0,2,0,4,1,2,0.38,0.3939,0.54,0.2985,16,72,88,Hari Kerja,,13.0,Siang
1236,2011-02-24,Musim Dingin,0,2,0,4,1,2,0.4,0.4091,0.5,0.2985,2,67,69,Hari Kerja,,14.0,Siang
1237,2011-02-24,Musim Dingin,0,2,0,4,1,3,0.4,0.4091,0.54,0.3881,5,58,63,Hari Kerja,,15.0,Siang
1238,2011-02-24,Musim Dingin,0,2,0,4,1,3,0.38,0.3939,0.62,0.2836,4,67,71,Hari Kerja,,16.0,Siang
1239,2011-02-24,Musim Dingin,0,2,0,4,1,3,0.36,0.3485,0.66,0.194,9,168,177,Hari Kerja,,17.0,Siang
1240,2011-02-24,Musim Dingin,0,2,0,4,1,2,0.34,0.303,0.87,0.3284,5,132,137,Hari Kerja,,18.0,Sore
1241,2011-02-24,Musim Dingin,0,2,0,4,1,3,0.34,0.303,0.93,0.2985,3,112,115,Hari Kerja,,19.0,Sore
1242,2011-02-24,Musim Dingin,0,2,0,4,1,2,0.34,0.303,0.93,0.3582,2,87,89,Hari Kerja,,20.0,Sore
1243,2011-02-24,Musim Dingin,0,2,0,4,1,2,0.34,0.303,0.87,0.3284,7,76,83,Hari Kerja,,21.0,Sore
1244,2011-02-24,Musim Dingin,0,2,0,4,1,3,0.34,0.3182,0.87,0.2836,5,50,55,Hari Kerja,,22.0,Sore
1245,2011-02-24,Musim Dingin,0,2,0,4,1,2,0.32,0.303,0.93,0.2239,3,47,50,Hari Kerja,,23.0,Sore
1246,2011-02-25,Musim Dingin,0,2,0,5,1,3,0.32,0.3485,0.93,0.0,1,8,9,Hari Kerja,,0.0,Malam
1247,2011-02-25,Musim Dingin,0,2,0,5,1,2,0.32,0.3485,1.0,0.0,1,9,10,Hari Kerja,,1.0,Malam
1248,2011-02-25,Musim Dingin,0,2,0,5,1,2,0.32,0.3485,1.0,0.0,0,3,3,Hari Kerja,,2.0,Malam
1249,2011-02-25,Musim Dingin,0,2,0,5,1,2,0.32,0.3333,0.93,0.1045,1,1,2,Hari Kerja,,3.0,Malam
1250,2011-02-25,Musim Dingin,0,2,0,5,1,2,0.32,0.3333,0.93,0.1045,1,5,6,Hari Kerja,,5.0,Malam
1251,2011-02-25,Musim Dingin,0,2,0,5,1,3,0.34,0.3485,0.93,0.0896,0,11,11,Hari Kerja,,6.0,Pagi
1252,2011-02-25,Musim Dingin,0,2,0,5,1,3,0.34,0.3333,1.0,0.1343,1,34,35,Hari Kerja,,7.0,Pagi
1253,2011-02-25,Musim Dingin,0,2,0,5,1,3,0.36,0.3485,0.93,0.1343,3,70,73,Hari Kerja,,8.0,Pagi
1254,2011-02-25,Musim Dingin,0,2,0,5,1,3,0.34,0.303,0.93,0.3582,3,111,114,Hari Kerja,,9.0,Pagi
1255,2011-02-25,Musim Dingin,0,2,0,5,1,3,0.42,0.4242,0.94,0.3284,7,42,49,Hari Kerja,,10.0,Pagi
1256,2011-02-25,Musim Dingin,0,2,0,5,1,1,0.52,0.5,0.77,0.4478,9,50,59,Hari Kerja,,11.0,Pagi
1257,2011-02-25,Musim Dingin,0,2,0,5,1,3,0.54,0.5152,0.6,0.4627,20,95,115,Hari Kerja,,12.0,Siang
1258,2011-02-25,Musim Dingin,0,2,0,5,1,3,0.54,0.5152,0.6,0.4627,6,77,83,Hari Kerja,,13.0,Siang
1259,2011-02-25,Musim Dingin,0,2,0,5,1,3,0.56,0.5303,0.56,0.6119,14,71,85,Hari Kerja,,14.0,Siang
1260,2011-02-25,Musim Dingin,0,2,0,5,1,1,0.46,0.4545,0.41,0.806,5,50,55,Hari Kerja,,15.0,Siang
1261,2011-02-25,Musim Dingin,0,2,0,5,1,1,0.32,0.2879,0.49,0.4627,11,91,102,Hari Kerja,,16.0,Siang
1262,2011-02-25,Musim Dingin,0,2,0,5,1,1,0.32,0.2727,0.49,0.7463,8,181,189,Hari Kerja,,17.0,Siang
1263,2011-02-25,Musim Dingin,0,2,0,5,1,1,0.32,0.2879,0.49,0.4925,7,150,157,Hari Kerja,,18.0,Sore
1264,2011-02-25,Musim Dingin,0,2,0,5,1,1,0.3,0.2727,0.52,0.4478,4,86,90,Hari Kerja,,19.0,Sore
1265,2011-02-25,Musim Dingin,0,2,0,5,1,1,0.3,0.2576,0.49,0.6119,2,60,62,Hari Kerja,,20.0,Sore
1266,2011-02-25,Musim Dingin,0,2,0,5,1,1,0.28,0.2576,0.48,0.3881,7,56,63,Hari Kerja,,21.0,Sore
1267,2011-02-25,Musim Dingin,0,2,0,5,1,1,0.26,0.2121,0.48,0.4478,7,43,50,Hari Kerja,,22.0,Sore
1268,2011-02-25,Musim Dingin,0,2,0,5,1,1,0.26,0.2273,0.48,0.3284,2,37,39,Hari Kerja,,23.0,Sore
1269,2011-02-26,Musim Dingin,0,2,0,6,0,1,0.24,0.2273,0.52,0.194,3,25,28,Hari Kerja,,0.0,Malam
1270,2011-02-26,Musim Dingin,0,2,0,6,0,1,0.24,0.2121,0.52,0.2985,2,25,27,Hari Kerja,,1.0,Malam
1271,2011-02-26,Musim Dingin,0,2,0,6,0,1,0.22,0.197,0.6,0.3582,3,9,12,Hari Kerja,,2.0,Malam
1272,2011-02-26,Musim Dingin,0,2,0,6,0,1,0.22,0.2273,0.55,0.1343,1,7,8,Hari Kerja,,3.0,Malam
1273,2011-02-26,Musim Dingin,0,2,0,6,0,2,0.22,0.2576,0.6,0.0896,1,1,2,Hari Kerja,,4.0,Malam
1274,2011-02-26,Musim Dingin,0,2,0,6,0,2,0.22,0.2424,0.64,0.1045,1,9,10,Hari Kerja,,5.0,Malam
1275,2011-02-26,Musim Dingin,0,2,0,6,0,1,0.22,0.2727,0.6,0.0,1,6,7,Hari Kerja,,6.0,Pagi
1276,2011-02-26,Musim Dingin,0,2,0,6,0,1,0.22,0.2576,0.6,0.0896,1,21,22,Hari Kerja,,7.0,Pagi
1277,2011-02-26,Musim Dingin,0,2,0,6,0,2,0.24,0.2879,0.6,0.0,2,55,57,Hari Kerja,,8.0,Pagi
1278,2011-02-26,Musim Dingin,0,2,0,6,0,2,0.26,0.2576,0.56,0.1642,9,65,74,Hari Kerja,,9.0,Pagi
1279,2011-02-26,Musim Dingin,0,2,0,6,0,2,0.3,0.303,0.49,0.1343,14,71,85,Hari Kerja,,10.0,Pagi
1280,2011-02-26,Musim Dingin,0,2,0,6,0,1,0.3,0.3333,0.45,0.0,26,100,126,Hari Kerja,,11.0,Pagi
1281,2011-02-26,Musim Dingin,0,2,0,6,0,2,0.32,0.3182,0.45,0.1642,45,115,160,Hari Kerja,,12.0,Siang
1282,2011-02-26,Musim Dingin,0,2,0,6,0,2,0.34,0.3182,0.42,0.2537,38,136,174,Hari Kerja,,13.0,Siang
1283,2011-02-26,Musim Dingin,0,2,0,6,0,2,0.34,0.303,0.36,0.3284,57,154,211,Hari Kerja,,14.0,Siang
1284,2011-02-26,Musim Dingin,0,2,0,6,0,2,0.36,0.3333,0.4,0.2836,40,125,165,Hari Kerja,,15.0,Siang
1285,2011-02-26,Musim Dingin,0,2,0,6,0,1,0.36,0.3333,0.46,0.2836,41,130,171,Hari Kerja,,16.0,Siang
1286,2011-02-26,Musim Dingin,0,2,0,6,0,1,0.36,0.3485,0.43,0.2239,53,130,183,Hari Kerja,,17.0,Siang
1287,2011-02-26,Musim Dingin,0,2,0,6,0,1,0.34,0.3333,0.46,0.194,26,111,137,Hari Kerja,,18.0,Sore
1288,2011-02-26,Musim Dingin,0,2,0,6,0,1,0.32,0.303,0.49,0.2537,30,64,94,Hari Kerja,,19.0,Sore
1289,2011-02-26,Musim Dingin,0,2,0,6,0,1,0.3,0.303,0.56,0.1642,8,60,68,Hari Kerja,,20.0,Sore
1290,2011-02-26,Musim Dingin,0,2,0,6,0,1,0.28,0.2727,0.65,0.2537,9,59,68,Hari Kerja,,21.0,Sore
1291,2011-02-26,Musim Dingin,0,2,0,6,0,1,0.28,0.2727,0.75,0.2239,8,38,46,Hari Kerja,,22.0,Sore
1292,2011-02-26,Musim Dingin,0,2,0,6,0,1,0.28,0.2576,0.75,0.2836,5,29,34,Hari Kerja,,23.0,Sore
1293,2011-02-27,Musim Dingin,0,2,0,0,0,1,0.26,0.2424,0.87,0.2836,8,26,34,Hari Kerja,,0.0,Malam
1294,2011-02-27,Musim Dingin,0,2,0,0,0,1,0.26,0.2576,0.87,0.194,7,30,37,Hari Kerja,,1.0,Malam
1295,2011-02-27,Musim Dingin,0,2,0,0,0,1,0.26,0.2727,0.87,0.1343,2,20,22,Hari Kerja,,2.0,Malam
1296,2011-02-27,Musim Dingin,0,2,0,0,0,1,0.26,0.2879,0.87,0.0896,3,8,11,Hari Kerja,,3.0,Malam
1297,2011-02-27,Musim Dingin,0,2,0,0,0,1,0.24,0.2424,0.87,0.1343,0,2,2,Hari Kerja,,4.0,Malam
1298,2011-02-27,Musim Dingin,0,2,0,0,0,1,0.24,0.2879,0.87,0.0,2,1,3,Hari Kerja,,6.0,Pagi
1299,2011-02-27,Musim Dingin,0,2,0,0,0,1,0.24,0.2424,0.87,0.1343,6,8,14,Hari Kerja,,7.0,Pagi
1300,2011-02-27,Musim Dingin,0,2,0,0,0,1,0.26,0.303,0.87,0.0,9,26,35,Hari Kerja,,8.0,Pagi
1301,2011-02-27,Musim Dingin,0,2,0,0,0,1,0.28,0.303,0.87,0.0896,17,42,59,Hari Kerja,,9.0,Pagi
1302,2011-02-27,Musim Dingin,0,2,0,0,0,1,0.3,0.303,0.81,0.1642,24,79,103,Hari Kerja,,10.0,Pagi
1303,2011-02-27,Musim Dingin,0,2,0,0,0,1,0.36,0.3485,0.62,0.1343,33,92,125,Hari Kerja,,11.0,Pagi
1304,2011-02-27,Musim Dingin,0,2,0,0,0,1,0.4,0.4091,0.54,0.0896,61,132,193,Hari Kerja,,12.0,Siang
1305,2011-02-27,Musim Dingin,0,2,0,0,0,1,0.42,0.4242,0.47,0.0,90,169,259,Hari Kerja,,13.0,Siang
1306,2011-02-27,Musim Dingin,0,2,0,0,0,1,0.44,0.4394,0.47,0.0896,105,177,282,Hari Kerja,,14.0,Siang
1307,2011-02-27,Musim Dingin,0,2,0,0,0,1,0.46,0.4545,0.44,0.1343,98,163,261,Hari Kerja,,15.0,Siang
1308,2011-02-27,Musim Dingin,0,2,0,0,0,1,0.48,0.4697,0.44,0.1642,98,170,268,Hari Kerja,,16.0,Siang
1309,2011-02-27,Musim Dingin,0,2,0,0,0,1,0.42,0.4242,0.54,0.194,66,121,187,Hari Kerja,,17.0,Siang
1310,2011-02-27,Musim Dingin,0,2,0,0,0,1,0.4,0.4091,0.54,0.194,24,103,127,Hari Kerja,,18.0,Sore
1311,2011-02-27,Musim Dingin,0,2,0,0,0,1,0.4,0.4091,0.54,0.1343,16,86,102,Hari Kerja,,19.0,Sore
1312,2011-02-27,Musim Dingin,0,2,0,0,0,1,0.4,0.4091,0.54,0.0896,9,72,81,Hari Kerja,,20.0,Sore
1313,2011-02-27,Musim Dingin,0,2,0,0,0,1,0.38,0.3939,0.62,0.1642,8,61,69,Hari Kerja,,21.0,Sore
1314,2011-02-27,Musim Dingin,0,2,0,0,0,2,0.38,0.3939,0.62,0.1045,2,67,69,Hari Kerja,,22.0,Sore
1315,2011-02-27,Musim Dingin,0,2,0,0,0,2,0.36,0.3485,0.62,0.1642,6,53,59,Hari Kerja,,23.0,Sore
1316,2011-02-28,Musim Dingin,0,2,0,1,1,2,0.36,0.3636,0.66,0.1045,5,25,30,Hari Kerja,,0.0,Malam
1317,2011-02-28,Musim Dingin,0,2,0,1,1,3,0.34,0.303,0.87,0.3582,1,7,8,Hari Kerja,,1.0,Malam
1318,2011-02-28,Musim Dingin,0,2,0,1,1,3,0.32,0.3182,0.93,0.1642,0,1,1,Hari Kerja,,3.0,Malam
1319,2011-02-28,Musim Dingin,0,2,0,1,1,2,0.34,0.3636,0.93,0.0,1,4,5,Hari Kerja,,5.0,Malam
1320,2011-02-28,Musim Dingin,0,2,0,1,1,2,0.34,0.3485,0.96,0.1045,1,27,28,Hari Kerja,,6.0,Pagi
1321,2011-02-28,Musim Dingin,0,2,0,1,1,2,0.36,0.3636,0.93,0.1045,2,90,92,Hari Kerja,,7.0,Pagi
1322,2011-02-28,Musim Dingin,0,2,0,1,1,2,0.34,0.303,0.93,0.2985,13,242,255,Hari Kerja,,8.0,Pagi
1323,2011-02-28,Musim Dingin,0,2,0,1,1,1,0.42,0.4242,0.82,0.2836,15,127,142,Hari Kerja,,9.0,Pagi
1324,2011-02-28,Musim Dingin,0,2,0,1,1,2,0.52,0.5,0.72,0.4925,13,79,92,Hari Kerja,,10.0,Pagi
1325,2011-02-28,Musim Dingin,0,2,0,1,1,2,0.56,0.5303,0.64,0.2985,13,74,87,Hari Kerja,,11.0,Pagi
1326,2011-02-28,Musim Dingin,0,2,0,1,1,2,0.56,0.5303,0.64,0.2985,0,36,36,Hari Kerja,,12.0,Siang
1327,2011-02-28,Musim Dingin,0,2,0,1,1,3,0.46,0.4545,0.94,0.2239,1,31,32,Hari Kerja,,13.0,Siang
1328,2011-02-28,Musim Dingin,0,2,0,1,1,3,0.42,0.4242,1.0,0.2985,1,24,25,Hari Kerja,,14.0,Siang
1329,2011-02-28,Musim Dingin,0,2,0,1,1,3,0.42,0.4242,1.0,0.2985,0,35,35,Hari Kerja,,15.0,Siang
1330,2011-02-28,Musim Dingin,0,2,0,1,1,3,0.42,0.4242,1.0,0.1343,2,40,42,Hari Kerja,,16.0,Siang
1331,2011-02-28,Musim Dingin,0,2,0,1,1,3,0.4,0.4091,1.0,0.2985,2,77,79,Hari Kerja,,17.0,Siang
1332,2011-02-28,Musim Dingin,0,2,0,1,1,3,0.46,0.4545,0.94,0.194,4,127,131,Hari Kerja,,18.0,Sore
1333,2011-02-28,Musim Dingin,0,2,0,1,1,3,0.44,0.4394,0.88,0.6119,1,79,80,Hari Kerja,,19.0,Sore
1334,2011-02-28,Musim Dingin,0,2,0,1,1,3,0.44,0.4394,0.88,0.6119,0,45,45,Hari Kerja,,20.0,Sore
1335,2011-02-28,Musim Dingin,0,2,0,1,1,2,0.38,0.3939,0.87,0.3881,2,78,80,Hari Kerja,,21.0,Sore
1336,2011-02-28,Musim Dingin,0,2,0,1,1,3,0.34,0.303,0.93,0.4179,4,72,76,Hari Kerja,,22.0,Sore
1337,2011-02-28,Musim Dingin,0,2,0,1,1,2,0.32,0.2879,0.81,0.3881,0,45,45,Hari Kerja,,23.0,Sore
1338,2011-03-01,Musim Dingin,0,3,0,2,1,1,0.3,0.2727,0.7,0.4627,0,7,7,Hari Kerja,,0.0,Malam
1339,2011-03-01,Musim Dingin,0,3,0,2,1,1,0.26,0.2273,0.7,0.3582,0,3,3,Hari Kerja,,1.0,Malam
1340,2011-03-01,Musim Dingin,0,3,0,2,1,1,0.24,0.2121,0.65,0.3881,0,4,4,Hari Kerja,,2.0,Malam
1341,2011-03-01,Musim Dingin,0,3,0,2,1,1,0.22,0.2121,0.69,0.2836,0,2,2,Hari Kerja,,3.0,Malam
1342,2011-03-01,Musim Dingin,0,3,0,2,1,1,0.22,0.2121,0.69,0.2537,0,1,1,Hari Kerja,,4.0,Malam
1343,2011-03-01,Musim Dingin,0,3,0,2,1,1,0.2,0.1818,0.64,0.2836,1,1,2,Hari Kerja,,5.0,Malam
1344,2011-03-01,Musim Dingin,0,3,0,2,1,1,0.2,0.1818,0.59,0.2985,0,46,46,Hari Kerja,,6.0,Pagi
1345,2011-03-01,Musim Dingin,0,3,0,2,1,1,0.2,0.1818,0.59,0.3284,2,105,107,Hari Kerja,,7.0,Pagi
1346,2011-03-01,Musim Dingin,0,3,0,2,1,1,0.2,0.1818,0.59,0.3881,10,204,214,Hari Kerja,,8.0,Pagi
1347,2011-03-01,Musim Dingin,0,3,0,2,1,1,0.22,0.197,0.55,0.4179,8,116,124,Hari Kerja,,9.0,Pagi
1348,2011-03-01,Musim Dingin,0,3,0,2,1,1,0.24,0.2121,0.52,0.2836,13,55,68,Hari Kerja,,10.0,Pagi
1349,2011-03-01,Musim Dingin,0,3,0,2,1,1,0.28,0.2727,0.45,0.2537,8,48,56,Hari Kerja,,11.0,Pagi
1350,2011-03-01,Musim Dingin,0,3,0,2,1,1,0.3,0.303,0.39,0.1343,6,80,86,Hari Kerja,,12.0,Siang
1351,2011-03-01,Musim Dingin,0,3,0,2,1,1,0.32,0.3485,0.39,0.0,13,65,78,Hari Kerja,,13.0,Siang
1352,2011-03-01,Musim Dingin,0,3,0,2,1,1,0.32,0.3333,0.36,0.1343,18,61,79,Hari Kerja,,14.0,Siang
1353,2011-03-01,Musim Dingin,0,3,0,2,1,1,0.34,0.3636,0.34,0.0,7,57,64,Hari Kerja,,15.0,Siang
1354,2011-03-01,Musim Dingin,0,3,0,2,1,1,0.34,0.3485,0.34,0.0896,10,92,102,Hari Kerja,,16.0,Siang
1355,2011-03-01,Musim Dingin,0,3,0,2,1,1,0.34,0.3485,0.34,0.0896,12,230,242,Hari Kerja,,17.0,Siang
1356,2011-03-01,Musim Dingin,0,3,0,2,1,1,0.32,0.3182,0.39,0.194,10,214,224,Hari Kerja,,18.0,Sore
1357,2011-03-01,Musim Dingin,0,3,0,2,1,1,0.3,0.303,0.49,0.1343,4,115,119,Hari Kerja,,19.0,Sore
1358,2011-03-01,Musim Dingin,0,3,0,2,1,1,0.3,0.3182,0.61,0.0896,2,86,88,Hari Kerja,,20.0,Sore
1359,2011-03-01,Musim Dingin,0,3,0,2,1,1,0.26,0.303,0.56,0.0,8,55,63,Hari Kerja,,21.0,Sore
1360,2011-03-01,Musim Dingin,0,3,0,2,1,1,0.24,0.2727,0.62,0.1045,3,44,47,Hari Kerja,,22.0,Sore
1361,2011-03-01,Musim Dingin,0,3,0,2,1,1,0.24,0.2273,0.65,0.2239,2,23,25,Hari Kerja,,23.0,Sore
1362,2011-03-02,Musim Dingin,0,3,0,3,1,1,0.22,0.2273,0.69,0.1642,3,5,8,Hari Kerja,,0.0,Malam
1363,2011-03-02,Musim Dingin,0,3,0,3,1,1,0.22,0.2273,0.69,0.194,0,4,4,Hari Kerja,,1.0,Malam
1364,2011-03-02,Musim Dingin,0,3,0,3,1,1,0.22,0.2273,0.69,0.194,0,2,2,Hari Kerja,,2.0,Malam
1365,2011-03-02,Musim Dingin,0,3,0,3,1,1,0.22,0.2121,0.69,0.2836,3,1,4,Hari Kerja,,3.0,Malam
1366,2011-03-02,Musim Dingin,0,3,0,3,1,1,0.2,0.2121,0.75,0.1343,1,0,1,Hari Kerja,,4.0,Malam
1367,2011-03-02,Musim Dingin,0,3,0,3,1,1,0.22,0.2121,0.69,0.2239,0,5,5,Hari Kerja,,5.0,Malam
1368,2011-03-02,Musim Dingin,0,3,0,3,1,1,0.22,0.2121,0.55,0.2537,1,39,40,Hari Kerja,,6.0,Pagi
1369,2011-03-02,Musim Dingin,0,3,0,3,1,1,0.22,0.2121,0.64,0.2537,2,108,110,Hari Kerja,,7.0,Pagi
1370,2011-03-02,Musim Dingin,0,3,0,3,1,1,0.24,0.2121,0.65,0.2836,13,243,256,Hari Kerja,,8.0,Pagi
1371,2011-03-02,Musim Dingin,0,3,0,3,1,1,0.28,0.2576,0.56,0.2985,7,141,148,Hari Kerja,,9.0,Pagi
1372,2011-03-02,Musim Dingin,0,3,0,3,1,1,0.32,0.303,0.49,0.2836,11,65,76,Hari Kerja,,10.0,Pagi
1373,2011-03-02,Musim Dingin,0,3,0,3,1,1,0.34,0.303,0.53,0.3284,8,65,73,Hari Kerja,,11.0,Pagi
1374,2011-03-02,Musim Dingin,0,3,0,3,1,1,0.4,0.4091,0.43,0.194,20,62,82,Hari Kerja,,12.0,Siang
1375,2011-03-02,Musim Dingin,0,3,0,3,1,1,0.5,0.4848,0.25,0.0,35,90,125,Hari Kerja,,13.0,Siang
1376,2011-03-02,Musim Dingin,0,3,0,3,1,1,0.52,0.5,0.23,0.2985,21,75,96,Hari Kerja,,14.0,Siang
1377,2011-03-02,Musim Dingin,0,3,0,3,1,1,0.54,0.5152,0.19,0.4179,19,91,110,Hari Kerja,,15.0,Siang
1378,2011-03-02,Musim Dingin,0,3,0,3,1,1,0.54,0.5152,0.19,0.3284,27,112,139,Hari Kerja,,16.0,Siang
1379,2011-03-02,Musim Dingin,0,3,0,3,1,1,0.5,0.4848,0.23,0.2836,30,238,268,Hari Kerja,,17.0,Siang
1380,2011-03-02,Musim Dingin,0,3,0,3,1,1,0.46,0.4545,0.23,0.4925,8,193,201,Hari Kerja,,18.0,Sore
1381,2011-03-02,Musim Dingin,0,3,0,3,1,1,0.4,0.4091,0.28,0.5224,6,144,150,Hari Kerja,,19.0,Sore
1382,2011-03-02,Musim Dingin,0,3,0,3,1,1,0.36,0.3333,0.29,0.4179,9,86,95,Hari Kerja,,20.0,Sore
1383,2011-03-02,Musim Dingin,0,3,0,3,1,1,0.34,0.2879,0.29,0.4627,3,68,71,Hari Kerja,,21.0,Sore
1384,2011-03-02,Musim Dingin,0,3,0,3,1,1,0.3,0.2576,0.26,0.5522,4,44,48,Hari Kerja,,22.0,Sore
1385,2011-03-02,Musim Dingin,0,3,0,3,1,1,0.26,0.2121,0.3,0.5224,0,22,22,Hari Kerja,,23.0,Sore
1386,2011-03-03,Musim Dingin,0,3,0,4,1,1,0.24,0.197,0.3,0.4627,3,10,13,Hari Kerja,,0.0,Malam
1387,2011-03-03,Musim Dingin,0,3,0,4,1,1,0.24,0.197,0.3,0.4627,0,1,1,Hari Kerja,,1.0,Malam
1388,2011-03-03,Musim Dingin,0,3,0,4,1,1,0.2,0.1667,0.27,0.4627,1,2,3,Hari Kerja,,2.0,Malam
1389,2011-03-03,Musim Dingin,0,3,0,4,1,1,0.2,0.1667,0.27,0.4627,0,1,1,Hari Kerja,,3.0,Malam
